,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,Asian,Black,Hispanic,More_than_one,White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld,pell_grant
0,0.0,4.0,1.0,6.0,10,2.0,2.0,4.0,0.0,1.0,4.0,58.62,5.0,0.069,1,5.0,0.0,92.0,3.0,0.0,0.0,0.0,4.0,31.0,5.0,3.25,1.0,57.72,2.0,3.0,1,1,0,0,0,0,0,0,1,0,0
1,1.0,1.0,3.0,4.0,9,2.0,0.0,3.0,0.0,1.0,4.0,56.48,5.0,0.324,1,1.0,0.0,98.0,2.0,0.0,0.0,0.0,1.0,29.0,6.0,2.25,1.0,58.65,2.0,2.5,1,0,0,0,0,1,0,0,1,0,1
2,1.0,1.0,3.0,6.0,11,2.0,2.0,4.0,0.0,1.0,4.0,53.01,5.0,0.324,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,27.0,6.0,3.5,1.0,57.22,1.0,3.75,1,0,0,0,0,1,0,0,1,0,0
3,1.0,1.0,3.0,6.0,10,0.0,6.0,3.0,0.0,0.0,3.0,59.59,5.0,0.324,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,0.0,29.0,5.0,3.75,1.0,54.82,1.0,3.5,1,0,0,0,0,1,0,0,1,0,0
4,1.0,5.0,3.0,6.0,9,2.0,5.0,3.0,0.0,1.0,3.0,45.09,5.0,0.997,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,28.0,3.0,2.0,1.0,51.98,1.0,2.5,1,0,1,0,0,0,0,0,1,0,1
5,1.0,1.0,3.0,7.0,11,2.0,2.0,4.0,0.0,1.0,4.0,63.64,5.0,1.189,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,30.0,5.0,2.0,0.0,58.48,2.0,2.75,0,0,0,0,0,1,0,0,1,0,0
6,1.0,5.0,3.0,5.0,11,1.0,6.0,4.0,0.0,0.0,3.0,56.64,5.0,0.069,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,24.0,4.0,2.0,1.0,50.32,1.0,2.0,0,0,0,0,0,1,0,0,1,0,0
7,1.0,1.0,3.0,2.0,10,2.0,2.0,4.0,0.0,1.0,4.0,55.25,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,32.0,5.0,3.5,1.0,49.92,2.0,3.75,1,0,0,0,0,1,0,0,1,0,0
8,1.0,1.0,3.0,4.0,8,2.0,3.0,2.0,0.0,1.0,4.0,47.94,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,30.0,5.0,3.0,1.0,47.38,1.0,2.75,0,0,0,0,0,1,0,0,1,0,1
9,1.0,2.0,3.0,2.0,10,2.0,5.0,3.0,0.0,0.0,4.0,47.99,5.0,0.934,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,29.0,4.0,2.0,1.0,53.68,1.0,2.75,0,0,0,0,0,1,0,0,1,0,0
10,1.0,1.0,3.0,2.0,11,1.0,4.0,3.0,0.0,1.0,4.0,49.75,5.0,1.862,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,32.0,5.0,2.75,1.0,57.04,1.0,3.0,1,0,0,0,0,1,0,0,1,0,0
11,1.0,1.0,3.0,2.0,6,0.0,2.0,4.0,0.0,1.0,5.0,63.69,5.0,0.997,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,42.0,6.0,3.25,1.0,59.79,1.0,3.75,1,0,0,0,0,1,0,0,1,0,1
12,1.0,1.0,3.0,6.0,9,3.0,3.0,4.0,0.0,1.0,3.0,66.23,5.0,0.069,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,3.0,1.0,59.59,2.0,3.25,0,0,0,0,0,1,0,0,1,0,0
13,0.0,1.0,1.0,8.0,9,2.0,1.0,4.0,0.0,1.0,4.0,72.59,5.0,0.934,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,3.0,27.0,6.0,3.75,0.0,74.36,2.0,3.5,1,1,0,0,0,0,0,0,1,0,0
14,1.0,1.0,3.0,6.0,9,2.0,1.0,4.0,0.0,1.0,4.0,74.97,5.0,0.997,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,2.0,29.0,6.0,3.75,1.0,61.8,2.0,3.75,1,0,0,0,0,1,0,0,1,0,0
15,1.0,1.0,3.0,6.0,12,2.0,3.0,3.0,0.0,1.0,5.0,68.05,5.0,2.349,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,29.0,6.0,3.75,1.0,61.89,2.0,3.5,0,0,0,0,0,1,0,0,1,0,0
16,1.0,1.0,3.0,6.0,11,2.0,2.0,3.0,0.0,1.0,4.0,60.59,5.0,0.448,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,28.0,5.0,3.25,0.0,62.55,2.0,3.5,1,0,0,0,0,1,0,0,1,0,0
17,1.0,5.0,3.0,8.0,9,0.0,2.0,3.0,0.0,1.0,4.0,68.48,5.0,0.324,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,3.0,23.0,6.0,3.25,1.0,69.1,1.0,3.5,1,0,0,0,0,1,0,0,1,0,0
18,0.0,1.0,2.0,8.0,10,1.0,0.0,4.0,0.0,1.0,5.0,65.61,5.0,0.324,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,2.0,32.0,6.0,3.75,1.0,59.26,2.0,3.75,1,1,0,0,0,0,0,0,1,0,0
19,1.0,1.0,3.0,4.0,8,1.0,4.0,3.0,0.0,0.0,4.0,50.69,5.0,1.862,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,32.0,3.0,3.0,1.0,55.04,1.0,3.25,0,0,0,0,0,1,0,0,1,0,0
20,1.0,1.0,3.0,6.0,10,3.0,5.0,4.0,1.0,0.0,3.0,57.08,5.0,1.862,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,3.5,0.0,60.29,1.0,1.75,0,0,0,0,0,1,0,0,1,0,0
21,1.0,1.0,3.0,6.0,11,2.0,4.0,3.0,1.0,0.0,4.0,51.67,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,25.0,4.0,1.5,1.0,58.07,1.0,2.75,1,0,0,0,0,1,0,0,1,0,0
22,1.0,1.0,3.0,4.0,10,1.0,3.0,4.0,0.0,1.0,4.0,58.82,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,31.0,6.0,3.0,1.0,62.31,1.0,3.25,0,0,0,0,0,1,0,0,1,0,0
23,1.0,1.0,3.0,7.0,11,1.0,0.0,4.0,0.0,1.0,4.0,60.5,5.0,0.579,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,2.0,36.0,6.0,3.5,1.0,61.4,2.0,3.75,0,0,0,0,0,1,0,0,1,0,0
24,1.0,1.0,3.0,2.0,9,2.0,8.0,4.0,0.0,1.0,3.0,54.64,5.0,1.252,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,33.0,6.0,3.25,1.0,63.04,1.0,3.25,0,0,0,0,0,1,0,0,1,0,0
25,1.0,1.0,1.0,7.0,11,1.0,4.0,3.0,1.0,0.0,4.0,61.03,5.0,0.579,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,33.0,5.0,3.5,1.0,61.78,1.0,3.5,1,1,0,0,0,0,0,0,1,0,0
26,1.0,5.0,3.0,8.0,9,2.0,7.0,3.0,1.0,1.0,4.0,49.28,5.0,1.189,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,31.0,4.0,2.75,1.0,48.26,2.0,3.25,1,0,0,0,0,1,0,0,1,0,1
27,1.0,1.0,2.0,4.0,8,0.0,3.0,4.0,0.0,1.0,4.0,68.74,5.0,2.349,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,33.0,6.0,3.25,1.0,62.83,1.0,3.0,0,0,0,0,0,1,0,0,1,0,1
